S.NO,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
350,AAPL,13-10-2016 05:30,116.98,117.44,115.72,116.79,35192406,110.5984674,111.0333734,109.4072034,110.4188324,35192406,0,1
351,AAPL,14-10-2016 05:30,117.63,118.17,117.13,117.88,35652191,111.2130084,111.7235502,110.7402846,111.4493703,35652191,0,1
352,AAPL,17-10-2016 05:30,117.55,117.84,116.78,117.33,23624896,111.1373726,111.4115524,110.4093779,110.9293741,23624896,0,1
353,AAPL,18-10-2016 05:30,117.47,118.21,117.45,118.18,24553478,111.0617368,111.7613681,111.0428278,111.7330046,24553478,0,1
354,AAPL,19-10-2016 05:30,117.12,117.76,113.8,117.25,20034594,110.7308301,111.3359166,107.5919439,110.8537383,20034594,0,1
355,AAPL,20-10-2016 05:30,117.06,117.38,116.33,116.86,24125801,110.6741033,110.9766465,109.9839265,110.4850137,24125801,0,1
356,AAPL,21-10-2016 05:30,116.6,116.91,116.28,116.81,23192665,110.2391973,110.5322861,109.9366541,110.4377413,23192665,0,1
357,AAPL,24-10-2016 05:30,117.65,117.74,117,117.1,23538673,111.2319174,111.3170077,110.6173764,110.7119212,23538673,0,1
358,AAPL,25-10-2016 05:30,118.25,118.36,117.31,117.95,48128970,111.799186,111.9031852,110.9104652,111.5155517,48128970,0,1
359,AAPL,26-10-2016 05:30,115.59,115.7,113.31,114.31,66134219,109.2842952,109.3882944,107.1286745,108.0741222,66134219,0,1
360,AAPL,27-10-2016 05:30,114.48,115.86,114.1,115.39,34562045,108.2348483,109.5395661,107.8755782,109.0952057,34562045,0,1
361,AAPL,28-10-2016 05:30,113.72,115.21,113.45,113.87,37861662,107.5163081,108.9250251,107.2610372,107.6581252,37861662,0,1
362,AAPL,31-10-2016 05:30,113.54,114.23,113.2,113.65,26419398,107.3461275,107.9984864,107.0246753,107.4501267,26419398,0,1
363,AAPL,01-11-2016 05:30,111.49,113.77,110.53,113.46,43825812,105.4079598,107.5635804,104.50033,107.2704917,43825812,0,1
364,AAPL,02-11-2016 05:30,111.59,112.35,111.23,111.4,28331709,105.5025045,106.2210448,105.1621434,105.3228695,28331709,0,1
365,AAPL,03-11-2016 05:30,109.83,111.46,109.55,110.98,26932602,104.3774218,105.9264995,104.1113226,105.4703294,26932602,0.57,1
366,AAPL,04-11-2016 05:30,108.84,110.25,108.11,108.53,30836997,103.436571,104.7765707,102.7428123,103.1419611,30836997,0,1
367,AAPL,07-11-2016 05:30,110.41,110.51,109.46,110.08,32560000,104.9286274,105.0236628,104.0257907,104.6150104,32560000,0,1
368,AAPL,08-11-2016 05:30,111.06,111.72,109.7,110.31,24254179,105.5463577,106.1735916,104.2538758,104.8335919,24254179,0,1
369,AAPL,09-11-2016 05:30,110.88,111.32,108.05,109.88,59176361,105.3752939,105.7934499,102.685791,104.4249395,59176361,0,1
370,AAPL,10-11-2016 05:30,107.79,111.09,105.83,111.09,57134541,102.4386989,105.5748683,100.5760043,105.5748683,57134541,0,1
371,AAPL,11-11-2016 05:30,108.43,108.87,106.55,107.12,34143898,103.0469257,103.4650816,101.2602595,101.8019615,34143898,0,1
372,AAPL,14-11-2016 05:30,105.71,107.809,104.08,107.71,51175504,100.4619618,102.4567556,98.91288413,102.3626705,51175504,0,1
373,AAPL,15-11-2016 05:30,107.11,107.68,106.1593,106.57,32264510,101.7924579,102.3341599,100.888956,101.2792665,32264510,0,1
374,AAPL,16-11-2016 05:30,109.99,110.23,106.6,106.7,58840522,104.5294785,104.7575636,101.3077772,101.4028126,58840522,0,1
375,AAPL,17-11-2016 05:30,109.95,110.35,108.83,109.81,27632003,104.4914644,104.8716061,103.4270674,104.3584147,27632003,0,1
376,AAPL,18-11-2016 05:30,110.06,110.54,109.66,109.72,28428917,104.5960033,105.0521734,104.2158616,104.2728828,28428917,0,1
377,AAPL,21-11-2016 05:30,111.73,111.99,110.01,110.12,29264571,106.1830952,106.4301873,104.5484856,104.6530246,29264571,0,1
378,AAPL,22-11-2016 05:30,111.8,112.42,111.4,111.95,25965534,106.24962,106.8388397,105.8694782,106.3921731,25965534,0,1
379,AAPL,23-11-2016 05:30,111.23,111.51,110.33,111.36,27426394,105.707918,105.9740172,104.852599,105.831464,27426394,0,1
380,AAPL,25-11-2016 05:30,111.79,111.87,110.95,111.13,11475922,106.2401164,106.3161448,105.4418187,105.6128825,11475922,0,1
381,AAPL,28-11-2016 05:30,111.57,112.465,111.39,111.43,27193983,106.0310385,106.8816056,105.8599747,105.8979888,27193983,0,1
382,AAPL,29-11-2016 05:30,111.46,112.03,110.07,110.78,28528750,105.9264995,106.4682015,104.6055069,105.2802585,28528750,0,1
383,AAPL,30-11-2016 05:30,110.52,112.2,110.27,111.6,36162258,105.0331664,106.6297617,104.7955778,106.0595491,36162258,0,1
384,AAPL,01-12-2016 05:30,109.49,110.94,109.03,110.365,37086862,104.0543013,105.4323152,103.6171383,104.8858614,37086862,0,1
385,AAPL,02-12-2016 05:30,109.9,110.09,108.85,109.17,26527997,104.4439466,104.624514,103.4460745,103.7501879,26527997,0,1
386,AAPL,05-12-2016 05:30,109.11,110.03,108.25,110,34324540,103.6931667,104.5674927,102.8758619,104.5389821,34324540,0,1
387,AAPL,06-12-2016 05:30,109.95,110.36,109.19,109.5,26195462,104.4914644,104.8811097,103.769195,104.0638049,26195462,0,1
388,AAPL,07-12-2016 05:30,111.03,111.19,109.16,109.26,29998719,105.5178471,105.6699038,103.7406844,103.8357198,29998719,0,1
389,AAPL,08-12-2016 05:30,112.12,112.43,110.6,110.86,27068316,106.5537334,106.8483432,105.1091947,105.3562868,27068316,0,1
